id,Place Name,created_at,favorite_count,full_text,quote_count,reply_count,retweet_count
1,Monumen Nasional,Tue Jul 11 09:53:23 +0000 2023,240,#idolyfepanaroma | ini kan monas jadi ibukota katanya look at nab's reaction https://t.co/hCzY0FzbEI,1,2,30
1,Monumen Nasional,Mon Nov 27 02:32:35 +0000 2023,32, btw dia ga cuman bikin candi Borobudur lohh tapi juga bikin Monas candi Prambanan dan dia bikin di mode hardcore. Dimana kalau dia mati di world itu world nya bakalan kehapus. Ayo guys kepoin akun yt nyaa https://t.co/cjGLJw9u4B,0,1,3
1,Monumen Nasional,Wed Nov 29 01:15:34 +0000 2023,33,USTADZ MUHAMMAD HUSEIN GAZA SERUKAN HADIR MUNAJAT KUBRO 212 Sabtu 18 Jumadil Uula 1445 H / 2 Desember 2023 M Di SIlang Monas Jakarta Jam 03:00 s/d 09:00 WIB Muhasabah Tahajjud dan Shubuh Berjamaah Munajat Kubro dan Tausiyah Agama https://t.co/IVH2FUlWFh,0,0,22
1,Monumen Nasional,Sun Nov 26 08:46:16 +0000 2023,22,Ini pembulatan perhitungan ilmu statistik bukan pembulatan ilmu keuangan. Mba ini mungkin tamatan 212 Monas Universitas https://t.co/i21zUWD3sH,0,10,6
1,Monumen Nasional,Tue Nov 28 08:00:19 +0000 2023,27,Sampai bertemu Reuni Mujahid Mujahidah Alumni 212 di Monas.. Insya Allah Aksi Terbesar di Indonesia Bela Palestina Takbir !!!! https://t.co/27j4DwnkSR,1,1,24
1,Monumen Nasional,Sun Nov 26 01:50:19 +0000 2023,110,Sederhana tapi bikin penumpang kesel. - Nyelak antrian - Bersin / batuk tidak tutup mulut / hidung. Kalau pake masker jangan malah dibuka. - Ngomong / telepon kencang / berisik. - Berdiri ngalangin jalan eskalator lift pintu dll - HANYA SAMPAI MONAS . Yak Tutup pak https://t.co/i0lmICQikO,5,7,50
1,Monumen Nasional,Thu Nov 30 11:28:49 +0000 2023,50,Ayo panjatkan doa terbaik untuk saudara saudara kita di Palestina luangkan waktu untuk bisa hadir di Monas pada tanggal 02/12/2023 https://t.co/aPp7Ci1P1S,1,1,30
1,Monumen Nasional,Thu Nov 30 04:16:42 +0000 2023,101,Bismillah UNDANGAN TERBUKA‼️ Munajat Kubro untuk Keselamatan NKRI dan Kemenangan Palestina🇵🇸 Monas Sabtu 2 Desember 2023 - M. Husein Gaza Sampai Jumpa di Monas🇮🇩 https://t.co/wtbGZxLUq9,2,1,63
1,Monumen Nasional,Thu Nov 30 16:08:05 +0000 2023,117,BUYA YAHYA mengajak semua Umat Islam utk hadir di Munajat Kubro 212 di Monas Hari Sabtu 2 Des 2023 Mulai Tahajjud s/d 09:00 berdoa bersama utk KEMENANGAN PALESTINA ️️ Bantu share 🇵🇸🇵🇸️ https://t.co/c1G79DTpoJ,0,1,59
1,Monumen Nasional,Wed Nov 29 07:35:06 +0000 2023,225,Bismillah Allahumma sholliala sayyidina Muhammad waala aali sayyidina Muhammad Habib Hanif Al Atthos (Majelis Huraidhoh). Mengundang kita semua untuk hadir di Munajat Kubro 212 Monas Jakarta. Tgl 2 Desember 2023 Indonesia ️ Palestina Allahu Akbar ️ https://t.co/2GA5LLFk6d,0,1,113
1,Monumen Nasional,Sun Nov 05 05:05:45 +0000 2023,6352,Ini bukan tentang agama bukan juga soal politik. Ini tentang manusia yang dulu sampai kapanpun kami akan selalu berpihak pada kemanusiaan Bersama 1 5 juta massa aksi tadi pagi di Monas Jakarta kami menyuarakan keberpihakan ini dengan tegas..! https://t.co/xdyMUtpsgb,338,1126,1132
1,Monumen Nasional,Mon Jan 29 13:24:26 +0000 2024,2058,Si kcg! Penunggu halte monas lagi ngaso https://t.co/5LtNXbClSx,3,5,119
1,Monumen Nasional,Sat Jan 20 03:33:16 +0000 2024,121,Lumba-lumba Krian main ke Jakarta Monas-GBK-Jogja-Surabaya PP https://t.co/kkNCaOVUCe,5,3,35
1,Monumen Nasional,Sat Jan 20 01:42:32 +0000 2024,111,samuel vo pega na sua teta fon fon https://t.co/XS3VBoF8p6,0,3,29
1,Monumen Nasional,Tue Jan 09 13:31:58 +0000 2024,30168,Dara arafah jg nangisin prabowo padahal dia viral videonya waktu aksi bela palestina di monas. Nyerah bgt sama negara ini https://t.co/kVCJJV2BW2,2808,1532,3187
1,Monumen Nasional,Fri Jan 26 08:55:00 +0000 2024,125,Suasana pembangunan proyek MRT Jakarta fase 2A CP201 (Stasiun Thamrin - Stasiun Monas) di Stasiun Monas Jakarta Kamis (18/01/2024). Antara Foto/Aditya Pradana Putra/tom https://t.co/TL2XRIrjWT,3,0,13
1,Monumen Nasional,Fri Jan 19 20:15:45 +0000 2024,152,monas tetas #moicy #mercy #moira https://t.co/vME4vfacgV,0,1,22
1,Monumen Nasional,Fri Jan 12 11:40:10 +0000 2024,24126,pov : orang luar pulau jawa liat monas pertama kali videonya sender drop direply https://t.co/hg9u3mWwCe,833,982,714
1,Monumen Nasional,Sun Jan 21 05:11:55 +0000 2024,6925,Cuman ada 5 orang pernah ke puncak gedung tertinggi di dunia Burj Khalifa (828 meter sekitar 6 2 kali tinggi Monas). Dua di antaranya Will Smith dan Tom Cruise. Yang paling gila sih Tom naik gak pake sepatu dan pengaman. Ini pas syuting Mission Impossible 4. https://t.co/ZvXjzQIVGx,259,409,1201
1,Monumen Nasional,Thu Nov 02 12:33:35 +0000 2023,8720,Bukan ribuan tapi jutaan! Bakal jadi salah satu aksi terbesar bela Palestina di dunia https://t.co/PJKAf2AUMK https://t.co/DYRLpW4bS6,371,322,1380
1,Monumen Nasional,Tue Nov 28 07:28:06 +0000 2023,41,Info. Kabar baik &amp; Gembira !!! Tempat untuk Munajat Kubro dan Keselamatan NKRI 🇮🇩 &amp; Kemenangan Palestina 🇵🇸 di MONAS Jakarta Mulai jam 3 Pagi sampai jam 9 Pagi wib Pada Hari Sabtu 2 Desember 2023 M / 18 Jumadil Awal 1445 H. https://t.co/wPmmw5Wo7B,0,2,21
1,Monumen Nasional,Wed Nov 29 13:06:35 +0000 2023,1703,FAHAM GA LO? PERASAAN BIBIR GUE YANG UDH NGANGKAT SETINGGI MONAS INI? https://t.co/yxFnFYpW9O,4,10,198
1,Monumen Nasional,Wed May 01 04:42:53 +0000 2024,50,Bus bus yg membawa para massa buruh dari luar kota jakarta mulai berdatangan ke lokasi aksi may day di sekitaran Monas Jakarta May day 01.05.24 https://t.co/E63vnD3jKO,2,0,18
1,Monumen Nasional,Sat Mar 30 09:45:29 +0000 2024,3,Halte Pesakih Kor 3 | X Deres - Monas https://t.co/7D8icH3ded,0,0,2
1,Monumen Nasional,Sun Nov 26 15:16:23 +0000 2023,930,Nemu komenan ini di vtnya @salminejakarta yang abis keliling monas bawa speaker dorong Langsung meluncur aja ke kontennya di sini https://t.co/SQK02wMS0u https://t.co/vMGvoVvKGq,0,4,46
1,Monumen Nasional,Thu Nov 30 04:06:08 +0000 2023,30,Undangan terbuka Munajat Kubro Keselamatan NKRI dan Kemenangan Palestina di Monas pada tgl. 212 (M. Husein Gaza) https://t.co/4rEv7MRMlz,0,0,25
1,Monumen Nasional,Tue Nov 28 07:40:55 +0000 2023,44,ALHAMDULILLAH IJIN MONAS 212 SUDAH KELUAR . 212 SEBAGI UKHUWAH IZZUL ISLAM WAL MUSLIMI DARI SABANG - MERAUKE . ️🇮🇩️🇵🇸🇮🇩 #monas #freepalestine #boikot https://t.co/Rh80n61nHi,3,0,32
1,Monumen Nasional,Thu May 23 11:10:11 +0000 2024,127,#jongchaengie gengsi nya lebih tinggi dari monas https://t.co/nXju8FIvxB,7,1,36
1,Monumen Nasional,Sun May 12 10:05:18 +0000 2024,3290,GUE NEMU HOTEL DI JAKARTA DEKET MONAS MASA CUMAN Rp 200RIBUAN sedekah kah ownernya cocok buat yang lagi liburan di Jakarta soalnya deket kalo mau kemana-mana dan deket transportasi umum!! Hotelnya juga bersih https://t.co/aImUoc5T7U,36,29,379
1,Monumen Nasional,Sun May 19 08:15:46 +0000 2024,4264,2024 ini aku liat-liat banyak event konser di Jakarta so aku mau kasih rekomendasi penginapan di tengah kota (cuma 2 km dari monas tp engga masuk gang kecil plus deket halte tj) murah (from 200k-ish) dan bisa sharing krn ada tipe bunk bed . homestaynya lucu dan nyaman bgt https://t.co/xmOKZWxwvv,44,44,586
1,Monumen Nasional,Sun May 05 23:31:17 +0000 2024,620,-en anak sekecil uwon ngehalangin monas. Untung monasnya cuma punya mode peluk kalo sama dia https://t.co/UWne3PyUk8,1,1,67
1,Monumen Nasional,Wed Apr 03 16:51:20 +0000 2024,7914,baju monas mba udah https://t.co/s9hYMo9LFs,642,1442,496
1,Monumen Nasional,Wed May 08 18:46:56 +0000 2024,801,Udah kayak di Monas. https://t.co/ITyi79fVxq,18,32,101
1,Monumen Nasional,Fri May 17 14:00:20 +0000 2024,1815,Teume! Ayo ke monas ji https://t.co/1V4hgBphlm,57,57,136
1,Monumen Nasional,Fri May 10 10:30:09 +0000 2024,11,Memanfaatkan libur untuk coba rute Transjakarta ke PIK. Monas - PIK di hari yg lancar +- 1 jam. Not bad. https://t.co/z45A6oHfgb,0,4,0
1,Monumen Nasional,Sat May 18 11:48:09 +0000 2024,23,giveaway cokelat dairy milk buat 2 orang! per orang dapat 2 coklat rules nya gampang : Coba ceritain ke aku moment yang buat kalian salting *cth di puji cantik jadi salting jungkir balik sampe Monas ️ No need to follow guys End 20 Mei GOOD LUCK‼️ https://t.co/Lvpu04ADxE,1,27,18
1,Monumen Nasional,Wed May 01 02:21:57 +0000 2024,680,lapangan monas https://t.co/V1RfnbvbpC,21,7,196
